charge_point_id,payload
tVhxJtv6vlipC3eCCr0c,"{""connectorId"":1,""transactionId"":74925,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""1024693"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""252.59"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""50.61"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""0.53"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
vEq4hfup6pA2M5ftlGh,"{""connectorId"":1,""transactionId"":76248,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""117435.164062"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""230.80"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""10.19"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
rBe6iZGRlRQIB8Y5ODFe,"{""connectorId"":1,""transactionId"":76207,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""199440.062500"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""232.13"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""9.82"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
GTGx9T0iHPveLr3MlYO,"{""connectorId"":1,""transactionId"":76211,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""188066.109375"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""228.83"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""9.92"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
QS7YfTfE9J6d84RXbOg,"{""connectorId"":1,""transactionId"":76236,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""328232.250000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.37"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""2.78"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
3DgBCXm0cRF6t1nb54b,"{""connectorId"":1,""transactionId"":76195,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""525800.000000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""234.07"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""12.23"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
g2kzFWVTVeYApzfman8X,"{""connectorId"":1,""transactionId"":76214,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""206844.296875"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""231.11"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""1.26"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
W5yIGI7A3oSNEfMsbiGU,"{""connectorId"":1,""transactionId"":7085,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""1198021.000000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
l5Us3JZIaTCetQpWLgx7,"{""connectorId"":1,""transactionId"":76178,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""219710.906250"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""243.37"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""5.13"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
TCT5PdNA0J0Voy8wQ8,"{""connectorId"":1,""transactionId"":76220,""meterValue"":[{""timestamp"":""2023-09-17T20:30:00Z"",""sampledValue"":[{""value"":""517464.125000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""254.91"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""6.78"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
