charge_point_id,payload
Dn9RHfyDUuDdQPbfSrw,"{""connectorId"":1,""transactionId"":76213,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""346882.656250"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""230.25"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""3.52"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
KSvJmLND5o6XPODao1VY,"{""connectorId"":1,""transactionId"":76234,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""838858.187500"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
jfFW3BwLjAW3SbhC47Sz,"{""connectorId"":1,""transactionId"":76232,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""472279.312500"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""246.39"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""10.18"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
JJI2JRPv0Ni70ph0TDr,"{""connectorId"":1,""transactionId"":76237,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""354454.156250"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""243.94"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""10.18"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
i88wOXXI2VdmWI0Pt3Kf,"{""connectorId"":1,""transactionId"":76221,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""606101.750000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""247.32"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""6.63"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
P4Pb8AWcdpRjtrB9WvBq,"{""connectorId"":1,""transactionId"":76223,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""494035.500000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""255.24"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""11.18"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
No6UhCYZ6XFPcD7Vr8Sj,"{""connectorId"":1,""transactionId"":76196,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""1063965.500000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""229.50"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""8.26"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
3DgBCXm0cRF6t1nb54b,"{""connectorId"":1,""transactionId"":76195,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""526487.125000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""241.17"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""11.84"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
4PVny2D3sHenF8hs4Dx,"{""connectorId"":1,""transactionId"":76216,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""371124.125000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""249.17"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""11.18"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
g2kzFWVTVeYApzfman8X,"{""connectorId"":1,""transactionId"":76214,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""206908.468750"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""231.05"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""1.26"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
cQpmQASnlEATl2EnqlV,"{""connectorId"":1,""transactionId"":76203,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""213608.390625"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""233.15"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""5.01"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
QS7YfTfE9J6d84RXbOg,"{""connectorId"":1,""transactionId"":76236,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""328377.843750"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.05"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""2.79"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
Yx2NKKodAwlXu0D2MnYM,"{""connectorId"":1,""transactionId"":76193,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""1131237.875000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.03"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""7.88"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
GTGx9T0iHPveLr3MlYO,"{""connectorId"":1,""transactionId"":76211,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""188421.765625"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""230.61"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""9.95"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
aeRyDDriyNud1HAj3GQd,"{""connectorId"":1,""transactionId"":76202,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""797304.000000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""239.52"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""4.89"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
TCT5PdNA0J0Voy8wQ8,"{""connectorId"":1,""transactionId"":76220,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""517881.093750"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""256.74"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""6.71"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
Btj2uxtSOY9hiMM7dUE,"{""connectorId"":1,""transactionId"":76219,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""483238.062500"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""242.68"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""8.19"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
rBe6iZGRlRQIB8Y5ODFe,"{""connectorId"":1,""transactionId"":76207,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""199770.140625"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""232.40"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""9.85"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
v4xsAsnZMFetYkxBDAWp,"{""connectorId"":1,""transactionId"":76229,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""380434.281250"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.55"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""4.55"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
ANyqeMnKegt9g8HyyLVT,"{""connectorId"":1,""transactionId"":76194,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""1079471.875000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""227.00"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""11.76"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
Idf8ZhPJ3E1Y7fEqyrPA,"{""connectorId"":1,""transactionId"":76204,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""227099.562500"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""230.34"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""10.31"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
l5Us3JZIaTCetQpWLgx7,"{""connectorId"":1,""transactionId"":76178,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""220012.796875"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""242.83"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""5.16"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
YL8EnsHirwWngOclt8o,"{""connectorId"":1,""transactionId"":76222,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""859434.937500"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""247.53"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""11.49"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
R8bT4rIIQR0a5qce,"{""connectorId"":1,""transactionId"":76241,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""340412.687500"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.69"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""4.65"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
7ciych81QtRgePvlKQf,"{""connectorId"":1,""transactionId"":76262,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""1206812.125000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""245.17"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""8.64"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
W5yIGI7A3oSNEfMsbiGU,"{""connectorId"":1,""transactionId"":7085,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""1198021.000000"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
cocPpWdMprESdBtOQvGd,"{""connectorId"":1,""transactionId"":76151,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""353910.906250"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.96"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""7.30"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
dD3LN4IT57n1jSZjmgpa,"{""connectorId"":1,""transactionId"":75541,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""291973.406250"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.52"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""0.01"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
bjWsEOAKsx3p3wI5PUKr,"{""connectorId"":1,""transactionId"":76217,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""58435.113281"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""244.00"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""8.41"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
ezoqjCSmDt3tWMpdjNl7,"{""connectorId"":1,""transactionId"":76242,""meterValue"":[{""timestamp"":""2023-09-17T20:44:00Z"",""sampledValue"":[{""value"":""4688208"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""252.92"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""51.31"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""4.88"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
KSvJmLND5o6XPODao1VY,"{""connectorId"":1,""transactionId"":76234,""meterValue"":[{""timestamp"":""2023-09-17T20:44:01Z"",""sampledValue"":[{""value"":""838858.187500"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""243.71"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""0.00"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""11.66"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
tVhxJtv6vlipC3eCCr0c,"{""connectorId"":2,""transactionId"":74969,""meterValue"":[{""timestamp"":""2023-09-17T20:44:02Z"",""sampledValue"":[{""value"":""949424"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L2"",""value"":""250.19"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""50.26"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L2"",""value"":""0.52"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
rBe6iZGRlRQIB8Y5ODFe,"{""connectorId"":1,""transactionId"":76207,""meterValue"":[{""timestamp"":""2023-09-17T20:44:02Z"",""sampledValue"":[{""value"":""199770.140625"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
Y1m1cuVPTWAMgxU5jpo,"{""connectorId"":3,""transactionId"":76240,""meterValue"":[{""timestamp"":""2023-09-17T20:44:03Z"",""sampledValue"":[{""value"":""2667428"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L3"",""value"":""249.46"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""50.35"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L3"",""value"":""4.93"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
ezoqjCSmDt3tWMpdjNl7,"{""connectorId"":2,""transactionId"":73805,""meterValue"":[{""timestamp"":""2023-09-17T20:44:02Z"",""sampledValue"":[{""value"":""4950371"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L2"",""value"":""250.71"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""51.65"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L2"",""value"":""10.11"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
tVhxJtv6vlipC3eCCr0c,"{""connectorId"":1,""transactionId"":74925,""meterValue"":[{""timestamp"":""2023-09-17T20:44:03Z"",""sampledValue"":[{""value"":""1024693"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L1"",""value"":""252.88"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""50.26"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L1"",""value"":""0.53"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
ezoqjCSmDt3tWMpdjNl7,"{""connectorId"":3,""transactionId"":75259,""meterValue"":[{""timestamp"":""2023-09-17T20:44:04Z"",""sampledValue"":[{""value"":""4753928"",""context"":""Sample.Clock"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""},{""phase"":""L3"",""value"":""249.36"",""context"":""Sample.Clock"",""measurand"":""Voltage"",""unit"":""V""},{""value"":""51.65"",""context"":""Sample.Clock"",""measurand"":""Temperature"",""unit"":""Celsius""},{""phase"":""L3"",""value"":""10.24"",""context"":""Sample.Clock"",""measurand"":""Current.Import"",""unit"":""A""}]}]}"
No6UhCYZ6XFPcD7Vr8Sj,"{""connectorId"":1,""transactionId"":76196,""meterValue"":[{""timestamp"":""2023-09-17T20:44:06Z"",""sampledValue"":[{""value"":""1063965.500000"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
fK9TE6k0g0zvHojHziO1,"{""connectorId"":1,""transactionId"":76256,""meterValue"":[{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""28.9"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Current.Import"",""location"":""Outlet"",""unit"":""A""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""30.0"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Current.Offered"",""location"":""Outlet"",""unit"":""A""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""30.0"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Current.Offered"",""location"":""EV"",""unit"":""A""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""949700"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Register"",""location"":""Outlet"",""unit"":""Wh""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""2310"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Interval"",""location"":""Outlet"",""unit"":""Wh""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""2849.0"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Power.Active.Import"",""location"":""Outlet"",""unit"":""W""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""95"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""SoC"",""location"":""EV"",""unit"":""Percent""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""85"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""SoC"",""location"":""EV"",""unit"":""Percent""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""98.7"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Voltage"",""location"":""Outlet"",""unit"":""V""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""104.0"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Voltage"",""location"":""EV"",""unit"":""V""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""24.9"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Temperature"",""location"":""Body"",""unit"":""Celsius""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""31.0"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Temperature"",""location"":""Outlet"",""unit"":""Celsius""}]},{""timestamp"":""2023-09-17T20:44:08Z"",""sampledValue"":[{""value"":""31.0"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Temperature"",""location"":""Inlet"",""unit"":""Celsius""}]}]}"
Y1m1cuVPTWAMgxU5jpo,"{""connectorId"":3,""transactionId"":76240,""meterValue"":[{""timestamp"":""2023-09-17T20:44:11Z"",""sampledValue"":[{""value"":""2667431"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
JJI2JRPv0Ni70ph0TDr,"{""connectorId"":1,""transactionId"":76237,""meterValue"":[{""timestamp"":""2023-09-17T20:44:12Z"",""sampledValue"":[{""value"":""354454.156250"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
7ciych81QtRgePvlKQf,"{""connectorId"":1,""transactionId"":76262,""meterValue"":[{""timestamp"":""2023-09-17T20:44:12Z"",""sampledValue"":[{""value"":""1206812.125000"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
ezoqjCSmDt3tWMpdjNl7,"{""connectorId"":1,""transactionId"":76242,""meterValue"":[{""timestamp"":""2023-09-17T20:44:12Z"",""sampledValue"":[{""value"":""4688211"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
QS7YfTfE9J6d84RXbOg,"{""connectorId"":1,""transactionId"":76236,""meterValue"":[{""timestamp"":""2023-09-17T20:44:15Z"",""sampledValue"":[{""value"":""328377.843750"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
YL8EnsHirwWngOclt8o,"{""connectorId"":1,""transactionId"":76222,""meterValue"":[{""timestamp"":""2023-09-17T20:44:18Z"",""sampledValue"":[{""value"":""859858.312500"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
cQpmQASnlEATl2EnqlV,"{""connectorId"":1,""transactionId"":76203,""meterValue"":[{""timestamp"":""2023-09-17T20:44:19Z"",""sampledValue"":[{""value"":""213608.390625"",""context"":""Sample.Periodic"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}"
